,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
3196,cgh,cgr,latam airlines,3176,25,11,50,1
3197,rec,fen,azul,2820,27,12,165,1
3198,rec,fen,azul,4718,24,12,165,1
3199,gru,cgr,delta air lines,6175,27,12,45,1
3200,gru,cgr,jet linx aviation,5552,27,12,45,1
3201,gru,cgr,latam airlines,3126,27,12,45,1
3202,vcp,cgr,azul,2713,26,12,40,1
3203,gru,cgr,aeromexico,8510,24,12,50,1
3204,gru,cgr,delta air lines,6177,24,12,50,1
3205,gru,cgr,qatar airways,5118,24,12,50,1
3206,gru,cgr,iberia,7031,24,12,50,1
3207,gru,cgr,latam airlines,3128,24,12,50,1
3208,gru,cgr,aeromexico,8510,24,12,50,1
3209,gru,cgr,delta air lines,6177,24,12,50,1
3210,gru,cgr,qatar airways,5118,24,12,50,1
3211,gru,cgr,iberia,7031,24,12,50,1
3212,gru,cgr,latam airlines,3128,24,12,50,1
3213,bsb,cgr,latam airlines,3718,24,12,45,1
3214,cgh,cgr,latam airlines,3178,24,12,45,1
3215,gru,cgr,american airlines,7701,24,12,55,1
3216,gru,cgr,air france,1950,24,12,55,1
3217,gru,cgr,sa avianca,4651,24,12,55,1
3218,gru,cgr,copa airlines,3586,24,12,55,1
3219,gru,cgr,emirates,3725,24,12,55,1
3220,gru,cgr,ethiopian airlines,4106,24,12,55,1
3221,gru,cgr,klm,9338,24,12,55,1
3222,gru,cgr,tap air portugal,4001,24,12,55,1
3223,gru,cgr,air europa,2691,24,12,55,1
3224,gru,cgr,tap air portugal,4049,24,12,55,1
3225,gru,cgr,gol,1414,24,12,55,1
3226,cgh,cgr,latam airlines,3176,28,12,45,1
3227,rec,fen,azul,4255,25,2,165,1
3228,rec,fen,tap air portugal,5229,29,2,165,1
3229,rec,fen,azul,4266,29,2,165,1
3230,rec,fen,azul,4718,28,2,165,1
3231,rec,fen,azul,2514,26,2,165,1
3232,rec,fen,azul,2514,30,2,165,1
3233,cgh,cgr,latam airlines,3176,23,2,50,1
3234,cgh,cgr,latam airlines,3178,26,2,45,1
3235,rec,fen,latam airlines,8908,30,3,160,1
3237,rec,fen,voepass,2370,30,3,160,1
3238,rec,fen,azul,2514,24,3,165,1
3239,rec,fen,tap air portugal,5229,23,3,165,1
3240,rec,fen,azul,4266,23,3,165,1
3241,rec,fen,azul,4255,30,3,165,1
3242,cgh,cgr,latam airlines,3178,23,3,45,1
3243,gru,cgr,air france,1965,23,3,60,1
3244,gru,cgr,aerolineas argentinas,7632,23,3,60,1
3245,gru,cgr,sa avianca,4677,23,3,60,1
3246,gru,cgr,emirates,3725,23,3,60,1
3247,gru,cgr,ethiopian airlines,4132,23,3,60,1
3248,gru,cgr,klm,9338,23,3,60,1
3249,gru,cgr,tap air portugal,4102,23,3,60,1
3250,gru,cgr,air europa,2691,23,3,60,1
3251,gru,cgr,gol,1496,23,3,60,1
3252,gru,cgr,aeromexico,8163,23,3,55,1
3253,gru,cgr,sa avianca,4795,23,3,55,1
3254,gru,cgr,copa airlines,3597,23,3,55,1
3255,gru,cgr,tap air portugal,4075,23,3,55,1
3256,gru,cgr,air europa,2371,23,3,55,1
3257,gru,cgr,copa airlines,3606,23,3,55,1
3258,gru,cgr,gol,1422,23,3,55,1
3259,vcp,cgr,azul,4877,24,3,40,1
3260,vcp,cgr,azul,4877,23,3,40,1
3261,rec,fen,tap air portugal,5262,26,4,165,1
3262,rec,fen,azul,4466,26,4,165,1
3263,rec,fen,tap air portugal,5262,26,4,165,1
3264,rec,fen,azul,4466,26,4,165,1
3265,rec,fen,tap air portugal,5262,25,4,165,1
3266,rec,fen,azul,4466,25,4,165,1
3267,rec,fen,azul,4403,30,4,165,1
3268,vcp,cgr,azul,4877,23,4,40,1
3269,gru,cgr,sa avianca,4795,23,4,50,1
3270,gru,cgr,copa airlines,3606,23,4,50,1
3271,gru,cgr,ethiopian airlines,4148,23,4,50,1
3272,gru,cgr,air europa,2371,23,4,50,1
3273,gru,cgr,gol,1422,23,4,50,1
3274,cgh,cgr,latam airlines,3176,23,4,50,1
3275,gru,cgr,delta air lines,6733,23,4,50,1
3276,gru,cgr,iberia,7031,23,4,50,1
3277,gru,cgr,qatar airways,5162,23,4,50,1
3278,gru,cgr,delta air lines,6287,23,4,50,1
3279,gru,cgr,latam airlines,3119,23,4,50,1
3280,vcp,cgr,azul,4877,32,4,35,1
3281,rec,fen,azul,4255,28,5,165,1
3282,vcp,cgr,azul,2700,27,5,40,1
3283,gru,cgr,sa avianca,4795,29,5,50,1
3284,gru,cgr,copa airlines,3606,29,5,50,1
3285,gru,cgr,ethiopian airlines,4148,29,5,50,1
