,departure.iataCode,arrival.iataCode,airline.name,flight.number,delay_total_min,departure.month,flight_duration_min,delay_true
3600,gru,cgr,qatar airways,5162,22,11,50,1
3601,gru,cgr,delta air lines,6015,22,11,50,1
3602,gru,cgr,latam airlines,3119,22,11,50,1
3603,vcp,cgr,azul,2742,24,11,35,1
3604,gru,cgr,aeromexico,8496,22,11,50,1
3605,gru,cgr,delta air lines,6028,22,11,50,1
3606,gru,cgr,iberia,6512,22,11,50,1
3607,gru,cgr,qatar airways,5162,22,11,50,1
3608,gru,cgr,delta air lines,7367,22,11,50,1
3609,gru,cgr,latam airlines,3119,22,11,50,1
3610,gru,cgr,aeromexico,8496,26,11,50,1
3611,gru,cgr,delta air lines,6026,26,11,50,1
3612,gru,cgr,qatar airways,5162,26,11,50,1
3613,gru,cgr,delta air lines,6005,26,11,50,1
3614,gru,cgr,latam airlines,3119,26,11,50,1
3615,rec,fen,latam airlines,8901,23,12,160,1
3617,rec,fen,voepass,2372,23,12,160,1
3618,rec,fen,azul,4403,29,12,165,1
3619,rec,fen,azul,2040,25,12,165,1
3620,nat,fen,azul,2338,28,12,140,1
